HomeTeam,AwayTeam,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Everton,Arsenal,0,0,3,0,8,15,5,9,11,13,4,9,0,0,0,0
Tottenham,Liverpool,2,1,0,2,17,6,11,3,14,16,6,5,3,3,0,0
ManU,Arsenal,2,0,1,0,10,9,4,3,21,15,6,5,3,6,0,0
ManC,Arsenal,2,1,0,2,10,19,6,9,13,12,3,12,3,2,0,0
Tottenham,ManU,0,1,2,0,11,17,7,13,16,13,3,9,3,2,0,1
Chelsea,Tottenham,2,1,0,2,25,9,15,4,7,9,11,3,0,2,0,0
ManU,ManC,2,1,1,1,21,10,11,6,15,14,11,1,2,2,0,0
Chelsea,Liverpool,2,0,0,1,12,12,8,3,14,17,5,8,1,1,0,0
Liverpool,ManU,2,0,0,1,11,7,6,5,20,11,5,1,2,3,1,1
Arsenal,Tottenham,2,2,0,2,18,7,12,5,10,10,6,2,1,1,0,0
Chelsea,ManU,2,0,0,1,12,21,9,10,13,15,0,7,3,3,0,0
Liverpool,ManC,1,0,0,1,10,9,6,6,9,13,7,3,2,0,0,0
ManU,Everton,2,1,0,2,18,11,11,5,4,6,13,4,2,2,0,0
Arsenal,Chelsea,0,0,2,0,5,7,3,5,17,12,4,3,2,2,0,0
Everton,Liverpool,0,0,1,0,12,9,8,7,15,12,6,4,1,0,0,0
ManC,Chelsea,2,1,1,1,13,10,8,6,12,17,9,6,1,6,0,0
Everton,Tottenham,1,0,0,1,15,19,6,11,11,18,1,6,4,4,0,0
Chelsea,Everton,1,2,2,1,25,10,13,7,13,17,7,1,0,1,0,0
Liverpool,Arsenal,0,1,0,2,6,7,3,5,19,16,3,4,3,3,0,0
Tottenham,ManC,2,1,0,2,19,9,7,5,10,8,5,6,2,3,0,0
Arsenal,Everton,1,1,1,1,6,9,5,5,10,11,6,8,1,1,0,0
Everton,ManC,2,2,0,2,13,8,6,4,14,14,11,3,0,0,0,0
Liverpool,Tottenham,2,1,0,2,13,7,5,5,11,17,2,3,2,3,0,0
Arsenal,ManU,0,0,2,0,18,11,7,5,9,12,8,5,1,0,0,0
Liverpool,Everton,2,0,0,1,9,6,4,3,11,23,8,8,3,3,1,1
Chelsea,Arsenal,2,2,0,2,9,14,3,6,11,14,4,8,2,2,0,0
Arsenal,Liverpool,2,0,0,1,11,9,6,7,19,13,3,6,3,2,0,0
Everton,Chelsea,2,1,1,1,7,14,5,5,13,15,5,6,1,2,0,0
Everton,ManU,2,1,1,1,11,11,7,5,12,10,4,12,5,1,0,0
ManC,Liverpool,1,0,0,1,4,6,1,2,7,15,8,5,1,6,0,0
Chelsea,ManC,0,1,1,1,23,8,13,6,21,12,3,2,3,1,2,0
Tottenham,Everton,2,2,0,2,13,14,9,10,9,18,6,9,1,4,0,0
ManU,Liverpool,2,1,1,1,10,4,5,2,10,15,1,2,2,3,0,0
ManC,Everton,0,0,1,0,12,10,5,7,11,10,7,4,3,2,0,0
ManU,Chelsea,0,0,1,0,9,11,3,5,14,11,3,3,3,1,0,0
Tottenham,Arsenal,2,1,0,2,13,19,10,11,13,10,4,6,3,1,0,0
ManC,ManU,0,0,0,1,8,13,5,3,8,12,7,5,2,1,0,0
Tottenham,Chelsea,2,2,0,2,20,9,10,6,7,14,13,4,2,4,0,1
Arsenal,ManC,1,0,0,1,9,3,4,2,13,14,5,1,4,2,0,0
ManU,Tottenham,2,0,0,1,15,9,8,3,13,10,4,4,1,0,0,0
