HomeTeam,AwayTeam,Max,Min,Wind,Rain,Humidity,Cloud,FTR
Everton,Arsenal,19,18,34,0.0,0.85,0.36,0
Tottenham,Liverpool,24,15,12,0.0,0.74,0.32,2
ManU,Arsenal,16,10,20,0.9,0.78,0.58,2
ManC,Arsenal,19,8,7,0.0,0.84,0.12,2
Tottenham,ManU,22,11,10,0.0,0.75,0.26,0
Chelsea,Tottenham,18,14,8,4.4,0.84,0.87,2
ManU,ManC,17,7,7,0.2,0.78,0.15,2
Chelsea,Liverpool,16,10,12,0.0,0.65,0.63,2
Liverpool,ManU,14,13,47,0.1,0.78,0.3,2
Arsenal,Tottenham,19,12,11,3.1,0.9,0.6,2
Chelsea,ManU,8,6,12,3.7,0.9500000000000001,0.93,2
Liverpool,ManC,14,12,32,1.4,0.87,0.61,1
ManU,Everton,12,6,24,8.4,0.9500000000000001,0.8,2
Arsenal,Chelsea,8,7,20,11.8,0.91,0.8,0
Everton,Liverpool,11,8,27,13.8,0.77,0.85,0
ManC,Chelsea,8,5,24,12.9,0.9400000000000001,0.88,2
Everton,Tottenham,12,10,45,6.0,0.8200000000000001,0.7000000000000001,1
Chelsea,Everton,8,4,16,0.0,0.92,0.56,1
Liverpool,Arsenal,9,8,24,3.1,0.72,0.97,0
Tottenham,ManC,2,-2,9,4.5,0.92,0.6,2
Arsenal,Everton,0,-3,25,1.0,0.92,0.87,1
Everton,ManC,6,5,42,3.5,0.86,0.66,2
Liverpool,Tottenham,4,4,30,1.1,0.84,1.0,2
Arsenal,ManU,4,-2,14,0.1,0.87,0.4,0
Liverpool,Everton,7,4,13,0.0,0.89,0.41000000000000003,2
Chelsea,Arsenal,5,0,10,0.4,0.92,0.75,2
Arsenal,Liverpool,2,-2,21,0.5,0.79,0.67,2
Everton,Chelsea,3,1,40,2.0,0.7000000000000001,0.8,2
Everton,ManU,3,3,20,3.8,0.76,0.64,2
ManC,Liverpool,2,-4,10,8.4,0.9400000000000001,0.72,1
Chelsea,ManC,9,3,16,5.9,0.9500000000000001,0.86,0
Tottenham,Everton,4,2,21,19.4,0.97,0.88,2
ManU,Liverpool,12,1,11,0.1,0.85,0.33,2
ManC,Everton,12,8,16,2.6,0.93,0.9500000000000001,0
ManU,Chelsea,8,2,8,2.8,0.9500000000000001,0.79,0
Tottenham,Arsenal,13,5,13,0.5,0.76,0.46,2
ManC,ManU,15,1,11,0.0,0.76,0.24,0
Tottenham,Chelsea,16,1,5,0.0,0.75,0.14,2
Arsenal,ManC,19,4,9,0.0,0.68,0.15,1
ManU,Tottenham,17,5,11,0.0,0.71,0.22,2
Liverpool,Chelsea,8,8,31,0.0,0.74,0.75,0
ManC,Tottenham,13,5,7,0.6,0.9,0.88,0
Tottenham,ManC,19,12,9,5.9,0.84,0.72,1
Liverpool,Arsenal,17,16,32,0.2,0.84,0.44,1
ManC,Liverpool,17,10,11,9.7,0.92,0.76,2
Everton,ManU,17,16,36,2.3,0.9,0.53,1
ManU,Liverpool,13,11,15,21.8,0.99,1.0,2
ManC,Chelsea,12,3,12,0.0,0.81,0.07,2
Chelsea,Arsenal,16,13,17,8.8,0.97,0.87,2
Everton,Liverpool,11,10,15,0.1,0.59,0.33,2
Tottenham,Everton,12,5,17,4.7,0.91,0.64,1
ManC,Arsenal,8,1,11,2.6,0.89,0.24,0
ManU,Tottenham,12,6,16,1.2,0.92,0.62,2
Liverpool,Chelsea,9,8,23,6.9,0.67,0.29,2
ManC,ManU,6,0,15,0.0,0.84,0.12,1
Everton,Arsenal,11,9,17,3.9,0.76,0.58,0
Arsenal,Tottenham,8,5,11,0.8,0.96,0.9,0
Tottenham,Liverpool,0,-4,11,0.0,0.85,0.55,2
Chelsea,Everton,3,0,15,4.4,1.0,0.91,1
Tottenham,Chelsea,4,1,12,0.1,0.97,0.61,1
ManU,Arsenal,4,0,7,0.2,0.9500000000000001,0.73,2
ManC,Everton,-4,-10,7,0.0,0.92,0.18,0
Arsenal,Chelsea,2,0,15,0.1,0.97,0.74,2
Arsenal,ManC,5,1,19,1.4,0.96,0.77,1
Everton,Tottenham,6,5,49,4.0,0.84,0.89,2
Liverpool,Everton,8,7,45,0.4,0.9400000000000001,0.56,1
Tottenham,ManU,10,9,25,1.2,0.96,0.84,1
Arsenal,Everton,6,-4,14,0.1,0.93,0.51,2
Chelsea,Liverpool,9,8,26,1.3,0.93,0.67,0
ManU,ManC,8,2,11,7.9,0.9400000000000001,0.61,2
Chelsea,ManU,6,0,15,0.0,0.88,0.67,2
Liverpool,ManU,6,6,25,0.2,0.8200000000000001,0.65,2
Chelsea,ManC,12,2,9,0.0,0.8300000000000001,0.59,2
Liverpool,ManC,11,9,19,0.4,0.81,0.38,2
Arsenal,Liverpool,18,4,7,0.4,0.78,0.31,1
Tottenham,Arsenal,23,8,7,0.1,0.74,0.15,1
ManU,Everton,19,9,9,2.3,0.86,0.47000000000000003,2
Chelsea,Tottenham,18,9,18,0.0,0.75,0.24,2
Arsenal,ManU,17,9,21,0.1,0.63,0.21,2
Everton,ManC,14,12,28,0.0,0.75,0.21,2
ManU,Chelsea,17,9,19,6.5,0.8200000000000001,0.61,2
ManC,Tottenham,15,8,16,4.5,0.89,0.52,2
Liverpool,Tottenham,11,10,29,1.8,0.8300000000000001,0.72,0
Everton,Chelsea,13,12,36,0.2,0.8200000000000001,0.22,2
Arsenal,Liverpool,23,12,9,1.4,0.8,0.44,0
ManU,Tottenham,20,10,7,0.0,0.81,0.35000000000000003,2
